id,created_at,number of likes,number of re,text
1121932825924653056,2019-04-27 00:23:24,1,0,@Ckruzel Thank you for sharing this with us! We will forward your compliments to the management team so the staff c… https://t.co/tQzh3Sxune
1121922618167316482,2019-04-26 23:42:51,3,0,@drewfrizzle That’s not the quality we expect from our restaurants. Can you DM us the address of your visit and you… https://t.co/XoNtFLrzpg
1121922579026128897,2019-04-26 23:42:41,3,0,@ImnotJordnSmith We certainly don’t like to see that. Can you DM us your phone number? We would love to make this right.
1121912244009340932,2019-04-26 23:01:37,2,0,"@BSwan89 We'll be waiting! Have you downloaded our app? if you have, DM us your email address so we can push you an… https://t.co/mY857xZkyQ"
1121899499901849601,2019-04-26 22:10:59,1,0,@Nafiz55285026 That's not okay! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121899224805838849,2019-04-26 22:09:53,0,0,@AlyssaG50021084 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121899011605245953,2019-04-26 22:09:02,1,0,@hitmanvf Great to hear!  We'd be happy to send out a compliment on your behalf so that the crew can get some recog… https://t.co/KK5vyTeZeW
1121898891379716102,2019-04-26 22:08:34,1,0,@shinbreaker We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121898435509149696,2019-04-26 22:06:45,2,0,"@elimonnphotoart We got you! Do you have our app yet? If you do, DM us your email so we can send you some offers for your next visit 😎"
1121893706536292354,2019-04-26 21:47:58,0,0,@xInfernalOne Thank you for sharing this with us! We will forward your compliments to the management team so the st… https://t.co/chUgOMWxPJ
1121891178721554433,2019-04-26 21:37:55,0,0,@bryleeenslen Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121890185250332672,2019-04-26 21:33:58,1,0,@casaofballoons We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121889835608944640,2019-04-26 21:32:35,0,0,@3rdviewF That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121881008578674693,2019-04-26 20:57:30,1,0,"@R1pp1nCh1ck3n There's always time for a second chance. Have you downloaded our mobile app? If so, DM us your email… https://t.co/hS10frDvIT"
1121854176584249345,2019-04-26 19:10:53,0,0,@katedixx Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121847152139997186,2019-04-26 18:42:58,2,0,@5Sarge That is wonderful to hear! We will share your compliments with the management team at that restaurant. We a… https://t.co/4ujqAq6TED
1121842336508542977,2019-04-26 18:23:50,2,0,"@This_AnthonyG We got you! Do you have our app yet? If you do, DM us your email so we can send you some offers for your next visit 😎"
1121818202332434433,2019-04-26 16:47:56,1,0,"@askurtzman We’d love to make this right. DM us with info on this location, along with your number, and we'll make it up to you."
1121798646343897088,2019-04-26 15:30:13,0,0,@nlsaulsb Great to hear! We'd be happy to send over a compliment on your behalf.
1121786422917246977,2019-04-26 14:41:39,0,0,@gnix20 This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.
1121778501357645824,2019-04-26 14:10:11,0,0,@sophiapetrillo9 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121761870078185477,2019-04-26 13:04:05,23,2,"@budlight @zpaynter71 Oh yeah, we don't clown around when it comes to Frosty."
1121643087317463041,2019-04-26 05:12:05,0,0,@9308ff78ef7148c That's not okay! Could you please DM us the restaurant location and your contact information so we… https://t.co/32IecH0cF7
1121642642113122304,2019-04-26 05:10:19,2,0,@GBreezefinslax That is s'awesome! We will send some kudos their way.
1121635626237874178,2019-04-26 04:42:26,3,0,@ModPhilosophy16 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1121573735532781573,2019-04-26 00:36:31,0,0,@Kyriana_ We're disappointed to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121571477264982020,2019-04-26 00:27:32,1,0,@tinajoneskienzl That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1121564006458843136,2019-04-25 23:57:51,0,0,@SJU2219 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121556601977151489,2019-04-25 23:28:26,1,0,@jonatha87833521 This isn't the service we expect. Can you DM us the address of your visit and your phone number so… https://t.co/DyAYXPWQTa
1121547968266559489,2019-04-25 22:54:07,1,0,@nannerbee1971 We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121546441858723842,2019-04-25 22:48:03,1,0,@CasaPhillips77 Well that’s just too long. Can you DM us your name and e-mail address or phone number so we can address this?
1121546057190649858,2019-04-25 22:46:32,1,0,"@ty_thompson13 Hey Tyler, We certainly don’t like to see that. Which location did you visit? Can you DM us your pho… https://t.co/n50uZy8IjF"
1121544703239970816,2019-04-25 22:41:09,1,0,@sam_LivingLife Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121544604740915200,2019-04-25 22:40:45,3,0,"@stephgoesIN Hey Steph, forever is just too long. Can you DM us with the address of your visit, along with your e-m… https://t.co/LkDu3pHuqA"
1121532071745413126,2019-04-25 21:50:57,0,0,"@TheRantRadio Oh no! Please DM us with info on this location, along with your number, and we'll make it up to you."
1121527513904234496,2019-04-25 21:32:50,2,0,@mwes10 Awesome! DM us so we can hook y'all up with some #KidsLoveWendys Swag! 🍟🍔👍
1121525245565861900,2019-04-25 21:23:50,2,0,"@Raddoctr That's not okay. Please DM us with the address of this location, along with your phone number, and we'll make it up to you."
1121521697675468801,2019-04-25 21:09:44,0,0,@JamilaGladney We certainly don’t like to hear that. Can you DM us the address of your visit and your phone number?… https://t.co/11vrwawGWz
1121521009444753408,2019-04-25 21:07:00,1,0,@DoeEyedDuck Thanks for reaching out! We’ll share your feedback with our product team!
1121518965459648515,2019-04-25 20:58:52,0,0,@RealNVanderbilt We're sorry to hear that! Please DM us the restaurant location and your phone number or email so we can make this right.
1121499640543760387,2019-04-25 19:42:05,3,0,@ThatFangirl20 thanks
1121499350952181762,2019-04-25 19:40:56,1,0,"@justmorris16 We’re sorry you had an experience like this. Can you DM us with the exact location of your visit, alo… https://t.co/p08jeZPpXD"
1121497376206749699,2019-04-25 19:33:05,2,0,@KrissyBoo222 We have the beef!  Have you downloaded our mobile app? DM us your email address and we'll push you an… https://t.co/u4yw5SsXWD
1121497279666565120,2019-04-25 19:32:42,1,0,@clund27 We forgive you! Have you downloaded our mobile app? We'd love to push an offer your way. Just DM us your email address!
1121494710604980224,2019-04-25 19:22:30,2,0,"@tombrake24 That’s not the quality we expect. Please DM us with info on this location, along with your number or em… https://t.co/gZnTgnEz6m"
1121494085892808704,2019-04-25 19:20:01,13,1,@cherkura this is a fair take
1121493327042498560,2019-04-25 19:17:00,2,0,@jlenertz11 must be nice
1121492231905579008,2019-04-25 19:12:39,0,0,@RandallF0ster That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121491038491881472,2019-04-25 19:07:54,14,0,@Jacksepticfan41 Good point jabroni.
1121489153135394819,2019-04-25 19:00:25,165,3,@itsdougthepug One refill of Chicken Puggets coming right up
1121485613243539457,2019-04-25 18:46:21,17,1,@adityaaanil woof
1121484867907272704,2019-04-25 18:43:23,3,0,@adityaaanil yep
1121482357129846790,2019-04-25 18:33:24,11,0,"@ghostshadoz thanks, friend"
1121482298770251776,2019-04-25 18:33:10,29,0,@ttv01KD1 yeehaw
1121481264081592320,2019-04-25 18:29:04,2502,162,Got to see this sweet baby boy for Take Your Child To Work Day. https://t.co/CWKZgfmBgT
1121477922412486656,2019-04-25 18:15:47,11,1,@nick_ecsy So brave.
1121465323213996032,2019-04-25 17:25:43,4,1,@aldiwankenobi 🙌🙌🙌🙌🙌🙌🙌
1121464675818987520,2019-04-25 17:23:09,13,0,@djc_1535 If you order on DoorDash
1121460991294955520,2019-04-25 17:08:30,6,0,@Alexander_game1 This is a good choice tbh
1121460280297390085,2019-04-25 17:05:41,27,0,@SakuyaHang o no
1121458516865236992,2019-04-25 16:58:40,13,0,@jobyrd01 yes
1121458465858256897,2019-04-25 16:58:28,14,0,@SakuyaHang not yet
1121457481992024067,2019-04-25 16:54:34,844,57,"Talk about a deal of a meal. With a Bacon Double Stack, 4 piece nuggets, small fries and drink for just $5, the Big… https://t.co/1DW2tVHesO"
1121455803947462662,2019-04-25 16:47:53,10,0,"@bivopastor Its true, #KidsLoveWendys 😊! Please DM us her name and mailing address so we can send some goodies her way!"
1121455460467519493,2019-04-25 16:46:32,1,0,@TaufiqRiaz This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.
1121454416731701249,2019-04-25 16:42:23,2,0,"@LaurenLDarnell We'll be waiting! If you have our app, DM us your email so we can send some offers your way 😎"
1121454202679635968,2019-04-25 16:41:32,0,0,@Raven_Gap We're disappointed to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121452432167514113,2019-04-25 16:34:30,2,0,@taylorkatelynne 😉😘
1121449512864768001,2019-04-25 16:22:54,0,0,"@BabyGee_ Hey GeeGee, That’s not okay. Please DM us the full address of your visit, along with your name and e-mail… https://t.co/zamXu8MrXA"
1121448881164890115,2019-04-25 16:20:23,0,0,"@xxi_doesthisx That’s not the quality we expect from our restaurants. Can you DM us the address of your visit, alon… https://t.co/uNlWxKbDBL"
1121446819463139328,2019-04-25 16:12:11,0,0,"@kaden_lancaster This isn’t the quality we expect. Please DM us with info on this location, along with your number,… https://t.co/aykMHQhu20"
1121444235536941056,2019-04-25 16:01:55,47,3,"@budlight @zpaynter71 Not much of a diva, just need 14 Frosty, 7 chocolate, 7 vanilla lined up on a shelf roughly 3… https://t.co/mEFN1xmtyk"
1121443184448540672,2019-04-25 15:57:45,3,0,"@mrs_leighty We'll be waiting for you! If you have our app, DM us your email so we can push a frosty your way 😎"
1121442269528301568,2019-04-25 15:54:07,1,1,"@ciscomedy That’s not okay. Please DM us the full address of your visit, along with your e-mail address or phone nu… https://t.co/1svIf8iWHA"
1121439752601985025,2019-04-25 15:44:07,2,0,@btsarmy_emilie idontbelieveyou.gif
1121439610196889606,2019-04-25 15:43:33,4,0,@btsarmy_emilie https://t.co/8GGxjfbeL0
1121433540305014786,2019-04-25 15:19:25,2885,215,"@s8n @SanClementeJedi Oh, there's already a store that's basically the same thing. Frozen beef, creepy clowns, weir… https://t.co/0N2yiy5saz"
1121432328633503745,2019-04-25 15:14:37,2,0,"@Gamer_Riku Oh no! Please DM us with info on this location, along with your number, and we'll make it up to you."
1121432224891588608,2019-04-25 15:14:12,1,0,"@Silpourtv We’d love to make this right. DM us with info on this location, along with your number, and we'll make it up to you."
1121431333912313856,2019-04-25 15:10:39,0,0,"@ZachAttackGore We're disappointed to hear this! Please DM us with the exact location of your visit, along with you… https://t.co/6VvhhCNDO2"
1121431117503127553,2019-04-25 15:09:48,1274,47,@s8n @SanClementeJedi Just here to say hi s8n
1121430565666852865,2019-04-25 15:07:36,843,8,@SanClementeJedi @s8n lol
1121430153333231616,2019-04-25 15:05:58,0,0,"@Liz_Vill87 That's not okay. Please DM us with the address of this location, along with your phone number, and we'll make it up to you."
1121426921630437381,2019-04-25 14:53:07,2,0,@100ericroblox 😍😍😍😍
1121424020027658241,2019-04-25 14:41:36,1,0,"@huate85 We got you! If you have our app, DM us your email so we can send you some offers 😎"
1121421389926420480,2019-04-25 14:31:09,40,2,@budlight @zpaynter71 Only if we get to headline the Dive Bar Tour
1121413636734574592,2019-04-25 14:00:20,2,0,"@hayyitsjenn This isn’t the quality we expect. Please DM us with info on this location, along with your number, and we'll make it up to you."
1121413172672512005,2019-04-25 13:58:29,0,0,"@ONAGOAL We'll be waiting! Have you downloaded our app? If so, DM us your email address so we can push you an offer… https://t.co/63IPIFo79H"
1121411935923331072,2019-04-25 13:53:35,1,0,"@__CIyde We’re sorry you had an experience like this. Can you DM us with the exact location of your visit, along wi… https://t.co/YzqgFqguEq"
1121411418627158016,2019-04-25 13:51:31,0,0,@DPMJESSE2 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1121411302461718528,2019-04-25 13:51:03,2,0,@LadyLaVere This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.
1121385532246888449,2019-04-25 12:08:39,1,0,@weitzmand Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121385199630209025,2019-04-25 12:07:20,0,0,"@NickieyNichole This isn’t the quality we’d expect. Please DM us with info on this location, along with your number… https://t.co/nH7E7llvXf"
1121315562821439489,2019-04-25 07:30:37,2,0,@samurai5764 watched game 7 Justin Williams do game 7 Justin Williams things
1121226472574918657,2019-04-25 01:36:37,3,0,@coryDwayne Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121219569153204225,2019-04-25 01:09:11,1,0,@svenjamestown We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121216301597433857,2019-04-25 00:56:12,1,0,@leogirl731 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1121214243330768896,2019-04-25 00:48:01,0,0,@SteveMandes Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121209405721186304,2019-04-25 00:28:48,2,0,@yellaxoxo That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1121200094337011712,2019-04-24 23:51:48,0,0,@phDusher We take things like this very seriously. Can you DM us the address of your visit and your phone number? W… https://t.co/O85wDhfIC3
1121195899462590464,2019-04-24 23:35:07,0,0,@wagalicious This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.
1121160194212474886,2019-04-24 21:13:15,0,0,@PinkyJustice We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121152638568026113,2019-04-24 20:43:13,14,0,@sgrif97852 he did
1121148392028233728,2019-04-24 20:26:21,0,0,"@KCfan0128 DM us, we would like to gather some additional details about your visits."
1121138258388320256,2019-04-24 19:46:05,188,9,"@Anonymous_36937 Drop a bar, got em shaken
Beef, cheese, six strips of bacon
Never frozen, never faking
Another legend in the making"
1121131484247732225,2019-04-24 19:19:10,2,0,"@Abraham66615137 That’s not the quality we expect. Please DM us with info on this location, along with your number… https://t.co/E9CoTfDNDG"
1121130781307543555,2019-04-24 19:16:22,21,0,@crisser84 sounds like an awful lot of work
1121130103692460034,2019-04-24 19:13:40,13,1,@Jaybee9800 same
1121129385216684033,2019-04-24 19:10:49,12,1,@JaneidyEve #NoDaysOff
1121128273797316610,2019-04-24 19:06:24,12,1,@JaneidyEve i don't wanna give you my job tho
1121126338298023938,2019-04-24 18:58:43,1,0,@Smilinjai Thanks for reaching out! We'll pass on your feedback to our product team!
1121124230047858688,2019-04-24 18:50:20,14,1,@BootsOwen_ no
1121124008060125185,2019-04-24 18:49:27,150,1,"@CharmLafaye 1. Thanks
2. True
3. See you soon"
1121122433417777153,2019-04-24 18:43:12,19,0,"@that_fabulous would just say it back, but literally no one is listening to anything you have to say anyways."
1121121312381054982,2019-04-24 18:38:44,29,1,@Shirt_2 frodo
1121121146353659905,2019-04-24 18:38:05,138,3,@RobBrown2nd @whatlyssays the Figure 4 for $4
1121120063585685504,2019-04-24 18:33:47,2,0,@CBarrington8 We certainly don’t like to hear that! Please DM us the restaurant location and your phone number so we can make this right.
1121119161252499457,2019-04-24 18:30:12,1,0,"@iDoBitee_ We're sorry to hear that! DM us, we would like to gather some additional details about your visit."
1121119108177833984,2019-04-24 18:29:59,2,0,@TRSteppy4L We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121118490214174720,2019-04-24 18:27:32,6,1,@AlbieDuncan it was a joke about the chicken nugget tweet that broke the retweet record
1121118215491457026,2019-04-24 18:26:26,19,2,@bigmace_1021 It's treason then.
1121117350424662017,2019-04-24 18:23:00,153,6,@Aram_YT @egoraptor https://t.co/4NE0Pz9vS8
1121117150587101190,2019-04-24 18:22:12,35,1,"@xTiifaniix nah, think we've established they won't show"
1121117076381421569,2019-04-24 18:21:55,1,0,"@realtylerperry1 We're disappointed to hear this! Can you DM us with the exact location of your visit, along with y… https://t.co/lYJqV7Xwy2"
1121117014578405379,2019-04-24 18:21:40,684,11,@egoraptor #relatable #brand #content
1121116557860646914,2019-04-24 18:19:51,7,0,@TheKaseyMalone gargano v cole
1121115803858952192,2019-04-24 18:16:51,80,1,@IIDTKII just doing our thing
1121113951402696705,2019-04-24 18:09:29,17,0,@LocoElephante 😉
1121113909925175296,2019-04-24 18:09:20,4,1,@rainestillreign don't remind us
1121113799321366528,2019-04-24 18:08:53,5,0,@greggagliardi It's a joke.
1121109929539047425,2019-04-24 17:53:31,204,9,@ONE_shot_GURL 😉😘😍😍😍
